id	taxonID	acceptedNameUsageID	parentNameUsageID	scientificName	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	vernacularName
32633.0	32633.0	32633.0	10098.0	Euptychia insolata	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Euptychia		insolata		species	
25447.0	25447.0	25447.0	9208.0	Ficus trachelosyce	Plantae	Magnoliophyta	Magnoliopsida	Urticales	Moraceae	Ficus		trachelosyce		species	Higuerón.
21755.0	21755.0	21755.0	7414.0	Licania affinis	Plantae	Magnoliophyta	Magnoliopsida	Rosales	Chrysobalanaceae	Licania		affinis		species	Cuero de sapo.
53407.0	53407.0	53407.0	53406.0	Caracara cheriway	Animalia	Chordata	Aves	Falconiformes	Falconidae	Caracara		cheriway		species	Cargahuesos, quebrantahuesos, querque, caracara cargahuesos
12898.0	12898.0	12898.0	3435.0	Morpho cypris	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Morpho		cypris		species	
20866.0	20866.0	20866.0	7171.0	Pseudelephantopus spicatus	Plantae	Magnoliophyta	Magnoliopsida	Asterales	Asteraceae	Pseudelephantopus		spicatus		species	Escoba, escobilla, escoba de Castilla, lechuguilla, oreja de burro
52453.0	52453.0	52453.0	52452.0	Mionectes oleagineus	Animalia	Chordata	Aves	Passeriformes	Tyrannidae	Mionectes		oleagineus		species	Mosquerito aceitunado
52080.0	52080.0	52080.0	52078.0	Puffinus pacificus	Animalia	Chordata	Aves	Procellariformes	Procellariidae	Puffinus		pacificus		species	Pardela colicuña
21746.0	21746.0	21746.0	7413.0	Hirtella americana	Plantae	Magnoliophyta	Magnoliopsida	Rosales	Chrysobalanaceae	Hirtella		americana		species	Garrapatilla.
53206.0	53206.0	53206.0	53205.0	Gymnopis multiplicata	Animalia	Chordata	Amphibia	Gymnophiona	Caeciliidae	Gymnopis		multiplicata		species	Dos cabezas, solda con solda, suelda con suelda
37701.0	37701.0	37701.0	21752.0	Hirtella racemosa var. racemosa	Plantae	Magnoliophyta	Magnoliopsida	Rosales	Chrysobalanaceae	Hirtella		racemosa	racemosa	variety	
48821.0	48821.0	48821.0	48820.0	Crassochaeta nigrita	Fungi	Ascomycota	Ascomycetes	Trichosphaeriales	Trichosphaeriaceae	Crassochaeta		nigrita		species	
